# Reines & Volonteri 2015, ApJ 813, 82, Table 1: 244 broad-line AGN (arXiv:1508.06274)
# via CDS J/ApJ/813/82/table1.dat, fetched 2026-09-24; log_Mstar and log_MBH in solar masses
nsaid,sdss_name,log_Mstar,log_MBH
13046,J123237.48+662452.5,10.61,7.40
170529,J123454.70+153410.9,10.74,6.84
162115,J123650.90+453902.9,10.54,6.64
103223,J123741.18+264227.5,9.81,5.86
55980,J123838.10+453414.4,10.80,6.54
86638,J124145.71+320256.2,10.09,6.62
118600,J124345.79+193846.4,10.10,6.35
103456,J124610.76+275615.9,10.23,7.03
162489,J125042.20-024928.9,10.71,7.39
61175,J125400.20+424220.0,10.90,6.91
77146,J125552.36+103055.2,10.61,7.19
103628,J125710.75+272417.6,10.27,6.11
27799,J130019.94+613918.4,10.72,7.60
90487,J130342.82+324824.5,9.57,6.07
37794,J130615.16+585733.4,9.59,6.65
77611,J130721.92+095209.3,10.79,7.44
33165,J130803.88+505227.0,10.28,6.27
14504,J131305.81+012755.9,10.35,6.44
31268,J131310.12+051942.1,9.89,5.66
92956,J131905.95+310852.7,10.55,6.67
77981,J132255.43+080941.5,10.64,7.04
78070,J132507.32+082026.4,10.65,6.34
120079,J132731.12+244641.0,10.83,7.71
86796,J132908.83+295024.1,9.81,6.58
88582,J133739.87+390916.4,10.45,6.70
92695,J134208.38+353915.5,10.26,6.77
92698,J134300.79+360956.3,9.68,6.52
54602,J134426.41+441620.0,10.27,6.82
19510,J134632.13+642325.2,9.67,6.30
70770,J134704.35+110622.6,10.75,6.52
78358,J134812.56+072340.7,10.52,6.16
164068,J134952.60+020440.0,10.22,7.44
94340,J135317.78+332927.0,10.43,5.47
31580,J140018.41+050242.2,10.73,7.33
35093,J140514.86-025901.2,10.67,7.21
94985,J141415.17+264451.4,10.57,7.27
14910,J141630.82+013708.0,11.00,7.22
94937,J141759.54+250812.7,10.80,7.94
17965,J141920.64+043623.3,10.96,6.61
121455,J142138.63+173536.2,10.42,7.58
123680,J142408.38+210518.5,10.78,7.03
28262,J142817.98+571018.6,10.59,6.90
18178,J143450.63+033842.5,10.14,5.84
43189,J143452.46+483942.7,10.10,7.72
121863,J144431.62+153643.2,10.53,7.12
96340,J145037.85+224403.6,9.84,6.55
96204,J145055.43+273442.7,10.91,6.79
165754,J145314.29+170037.9,10.60,6.64
123179,J145518.40+163253.7,10.49,6.12
96526,J145631.35+212030.0,10.03,6.55
80616,J145819.55+045451.7,10.09,7.08
72324,J150138.79+102513.4,10.59,7.07
72201,J150311.67+111027.3,10.25,6.85
165936,J150744.40+512703.0,11.24,7.40
2694,J150853.94-001149.0,11.06,7.45
79325,J151150.03+075918.7,10.37,6.84
18613,J151343.31+042143.6,10.56,6.96
79540,J151621.58+080604.6,10.41,6.24
97079,J151634.45+205837.9,9.88,5.98
97379,J151907.55+260750.6,10.39,6.53
124618,J152324.43+551855.5,10.70,6.72
80920,J152416.66+045119.0,10.46,7.20
68095,J152940.58+302909.3,10.74,6.97
79900,J153118.01+072740.3,10.83,7.61
79792,J153146.89+062257.9,10.71,7.47
123467,J153552.50+143103.8,10.29,6.35
73190,J154214.26+095654.7,9.57,6.51
166398,J154241.59+225251.0,11.07,7.24
166418,J154507.69+170955.0,10.35,7.69
53851,J154814.75+450027.7,9.70,6.48
125028,J155224.87+041726.2,9.29,6.45
57585,J155417.43+323837.9,10.28,7.73
114669,J155640.90+121717.9,10.43,6.66
114657,J155807.97+120413.0,10.41,6.21
20346,J155926.11+521235.5,10.45,7.31
58210,J160502.46+330545.0,10.13,7.80
99870,J160515.85+174227.4,10.46,6.50
45842,J160558.11+440319.5,10.87,6.89
63803,J160652.16+275539.1,10.95,7.06
115034,J160836.37+121951.5,10.71,7.52
20587,J161156.31+521117.1,10.30,7.26
73411,J161745.63+060353.5,9.99,7.52
166855,J161809.60+362002.0,9.60,6.20
63559,J161844.85+253907.6,10.94,7.20
45920,J161951.31+405847.3,10.59,6.78
43888,J162138.10+351617.3,10.50,6.90
45888,J162345.88+410456.4,10.07,7.10
63546,J162501.43+241547.3,10.43,6.95
4748,J163007.39-001136.4,10.76,7.14
115668,J163257.50+115040.1,10.28,6.40
63360,J163453.66+231242.6,10.76,7.40
58098,J165601.60+211241.1,10.81,7.73
4243,J170938.94+630635.0,10.04,7.24
125689,J171228.44+355302.6,10.85,6.97
125773,J172239.93+305252.6,11.02,7.14
21420,J204745.25-052515.6,10.66,7.04
39540,J210533.44+002829.2,9.85,6.49
24630,J212954.56+101603.8,10.61,6.42
21626,J213344.25-081615.6,10.89,7.57
39842,J213741.44+005317.0,10.99,6.82
21657,J215226.03-081024.9,10.67,6.32
4980,J215512.41+005906.7,10.51,6.29
23433,J224824.63+000920.6,10.26,6.62
5429,J231815.67+001540.2,11.12,7.05
5533,J233837.09-002810.4,10.03,5.91
