# Riess et al. 2011, ApJ 730, 119 (R11), Table 2: HST/WFC3 Cepheids in SN Ia host galaxies and NGC 4258, as processed for
# ASTR 596 Spring 2020 / 2023 (GN, week 3): m = F160W - 0.41 (V-I), merr = F160W error, P in days, logO_H = log[O/H], bias = R11 crowding correction already applied.
# Copied 2026-09-20 from ~/work/ast596_2023_Spring/notes/03/R11ceph.dat (Cepheid 102255 excluded there for merr = 99). 646 rows, nine galaxies (NGC 4258 anchor + eight SN Ia hosts).
# rej_flag added 2026-09-20 from VizieR J/ApJ/730/119/table2 column Flag: ok | rej (R11 Sec. 3: > 0.75 mag or > 2.5 sigma from the P-L fit, Chauvenet, iterated; mostly blends) | lowP | rej_lowP. NGC 4258: 48 of 166 flagged rej.
id,gal,m,merr,P,logO_H,bias,rej_flag
48741,3370,23.352300,0.130000,96.480000,-3.250000,0.050000,ok
8038,3370,22.903100,0.120000,96.820000,-3.240000,0.020000,ok
17501,3370,23.351300,0.410000,98.720000,-2.980000,0.170000,ok
10587,3982,25.097400,0.520000,16.580000,-3.250000,0.330000,lowP
32275,3982,26.154600,0.750000,16.980000,-3.130000,1.190000,rej_lowP
54537,3982,25.435600,0.510000,17.020000,-3.180000,0.490000,lowP
12797,3982,24.329000,0.430000,18.150000,-3.280000,0.350000,lowP
68254,3982,25.023300,0.250000,18.290000,-3.490000,0.100000,lowP
15318,3982,23.257000,0.500000,18.510000,-3.120000,0.640000,rej_lowP
64179,3982,24.992300,0.480000,18.750000,-3.280000,0.530000,lowP
19463,3982,24.887500,0.190000,18.940000,-3.640000,0.050000,lowP
73388,3982,24.896900,0.240000,19.620000,-3.740000,0.110000,lowP
48062,3982,24.985800,0.560000,20.840000,-2.960000,1.420000,ok
35102,3982,24.301000,0.460000,21.380000,-3.020000,0.800000,ok
16746,3982,24.729500,0.350000,21.460000,-3.360000,0.120000,ok
20027,3982,25.170000,0.520000,22.730000,-3.030000,0.920000,ok
85628,3982,24.222800,0.480000,23.580000,-3.080000,0.650000,ok
40688,3982,24.887400,0.510000,23.690000,-3.220000,0.290000,ok
51886,3982,24.599000,0.180000,24.550000,-3.640000,0.010000,ok
65962,3982,26.077400,0.590000,24.580000,-3.300000,0.190000,rej
57905,3982,25.141200,0.410000,25.240000,-3.120000,0.740000,ok
86821,3982,25.042500,0.650000,25.360000,-2.900000,1.440000,ok
21186,3982,23.739900,0.420000,26.780000,-3.060000,0.460000,rej
49777,3982,25.336100,0.890000,27.330000,-2.950000,1.250000,rej
65677,3982,22.235200,0.150000,28.580000,-3.560000,0.020000,rej
35316,3982,24.278000,0.450000,29.030000,-3.160000,0.620000,ok
72633,3982,25.216700,0.280000,32.520000,-3.680000,0.000000,rej
39405,3982,22.902500,0.360000,33.840000,-3.190000,0.200000,rej
10406,3982,24.287500,0.160000,34.200000,-3.430000,0.030000,ok
21055,3982,23.979800,0.240000,37.340000,-3.240000,0.110000,ok
16117,3982,23.910800,0.360000,37.990000,-3.070000,0.260000,ok
10837,3982,23.739000,0.260000,38.470000,-3.230000,0.070000,ok
69280,3982,23.902100,0.120000,38.680000,-3.720000,0.020000,ok
17690,3982,25.063100,0.580000,39.190000,-3.020000,0.560000,rej
82298,3982,24.073800,0.250000,40.310000,-3.280000,0.170000,ok
67799,3982,24.125900,0.120000,40.440000,-3.540000,0.000000,ok
10346,3982,23.589300,0.210000,40.440000,-3.280000,0.070000,ok
32060,3982,24.513400,0.580000,40.720000,-3.010000,0.540000,ok
72603,3982,23.572800,0.130000,51.610000,-3.680000,0.000000,ok
89486,3982,22.919200,0.400000,62.440000,-2.980000,0.440000,ok
12402,3982,22.650000,0.280000,72.360000,-3.180000,0.020000,ok
16026,3021,26.294300,0.460000,12.220000,-3.610000,0.320000,lowP
34830,3021,25.719200,0.590000,13.390000,-3.250000,0.550000,lowP
39653,3021,26.145300,0.480000,14.070000,-3.680000,0.270000,lowP
73085,3021,26.531000,0.650000,14.560000,-3.610000,0.120000,rej_lowP
71145,3021,24.605300,0.360000,16.120000,-3.270000,0.260000,rej
64603,3021,25.759300,0.750000,16.280000,-2.990000,1.240000,ok
29320,3021,25.360700,0.690000,18.680000,-3.100000,1.290000,ok
26176,3021,25.260700,0.390000,19.470000,-3.330000,0.330000,ok
54363,3021,26.426700,0.760000,20.450000,-3.200000,0.610000,rej
42349,3021,24.764300,0.440000,20.560000,-2.900000,1.460000,ok
35001,3021,25.086400,0.600000,20.990000,-3.230000,0.730000,ok
70351,3021,24.052800,0.560000,22.570000,-3.180000,0.490000,rej
73805,3021,25.294300,0.200000,22.900000,-3.560000,-0.000000,ok
69513,3021,24.302300,0.440000,23.980000,-3.120000,0.410000,ok
70368,3021,25.668900,0.410000,25.140000,-3.320000,0.060000,ok
60391,3021,24.537400,0.310000,28.670000,-3.240000,0.110000,ok
31450,3021,24.013000,0.540000,31.640000,-3.020000,0.690000,ok
54600,3021,24.447400,0.470000,32.590000,-3.080000,0.270000,ok
66191,3021,25.486100,0.240000,32.660000,-3.640000,0.040000,rej
57991,3021,24.655300,0.620000,35.430000,-2.820000,0.490000,ok
68742,3021,24.706400,0.290000,36.730000,-3.170000,0.190000,ok
94290,3021,24.644900,0.730000,37.110000,-3.070000,0.860000,ok
59774,3021,24.182800,0.320000,39.190000,-3.210000,0.270000,ok
32262,3021,23.723400,0.550000,44.790000,-2.980000,0.570000,ok
34624,3021,23.570000,0.590000,48.270000,-3.070000,0.380000,ok
101986,3021,24.208000,0.530000,56.240000,-2.970000,0.700000,ok
26664,3021,24.018400,0.260000,58.580000,-3.330000,0.050000,ok
38746,3021,22.847900,0.520000,74.770000,-3.040000,0.270000,ok
61619,3021,23.592600,0.380000,81.020000,-2.900000,0.360000,ok
33806,3021,23.403300,0.490000,108.300000,-2.920000,0.390000,ok
21599,1309,26.737100,0.510000,20.930000,-3.300000,0.040000,rej_lowP
9778,1309,24.868100,0.320000,21.980000,-3.210000,0.130000,lowP
